time,ISIN,bidprice0,askprice0,bidsize0,asksize0
2020.04.30D12:00:00.372384446,LON0_P800,1.29,1.38,15,19
2020.04.30D12:00:00.372686154,LOM0_P1700,2.66,2.75,10,18
2020.04.30D12:00:00.372691435,LOM0_P1650,2.48,2.56,11,12
2020.04.30D12:00:00.372694848,LOM0_C2150,1.16,1.23,12,12
2020.04.30D12:00:00.372697970,LOM0_P1450,1.89,1.96,26,5
2020.04.30D12:00:00.372775751,LON0_P1900,3.37,3.47,11,7
2020.04.30D12:00:00.372779754,LON0_C3400,0.38,0.46,13,16
2020.04.30D12:00:00.372782966,LON0_C2750,1.24,1.34,12,21
2020.04.30D12:00:00.372785968,LON0_P1450,2.17,2.25,23,3
2020.04.30D12:00:00.372789407,LON0_P1150,1.71,1.77,4,27
2020.04.30D12:00:00.372817643,LON0_P1150,1.71,1.77,4,27
2020.04.30D12:00:00.376742988,LOM0_C1750,2.89,2.98,7,7
2020.04.30D12:00:00.380972006,LOM0_C1850,2.35,2.43,4,14
2020.04.30D12:00:00.380975753,LON0_P1750,2.89,2.99,11,9
2020.04.30D12:00:00.397077086,LOM0_C2050,1.48,1.55,10,10
2020.04.30D12:00:00.397309894,LOM0_C2050,1.48,1.55,5,10
2020.04.30D12:00:00.397319390,LON0_C3200,0.54,0.63,10,20
2020.04.30D12:00:00.397345921,LOM0_C2100,1.31,1.39,10,19
2020.04.30D12:00:00.397480578,LOM0_C2050,1.48,1.55,5,10
2020.04.30D12:00:00.398040789,LOM0_C2150,1.16,1.23,12,12
2020.04.30D12:00:00.398045230,LOM0_C2300,0.79,0.85,12,3
2020.04.30D12:00:00.398048196,LOM0_C1900,2.1,2.18,9,16
2020.04.30D12:00:00.398102678,LON0_C2200,3.18,3.29,5,16
2020.04.30D12:00:00.398106432,LON0_P1950,3.55,3.65,9,4
2020.04.30D12:00:00.398109432,LON0_C2400,2.3,2.4,8,19
2020.04.30D12:00:00.398114393,LON0_C2550,1.79,1.88,5,15
2020.04.30D12:00:00.411341326,LOM0_C250,14.43,0,1,0
2020.04.30D12:00:00.411345064,LOM0_P4000,21.5,23.67,2,1
2020.04.30D12:00:00.411348161,LON0_C550,14.03,0,1,0
2020.04.30D12:00:00.412591370,LON0_P1600,2.52,2.59,7,3
2020.04.30D12:00:00.414454595,LOM0_C450,12.58,0,1,0
2020.04.30D12:00:00.414458047,LON0_C450,14.96,0,1,0
2020.04.30D12:00:00.414504483,LON0_C2300,2.71,2.82,8,18
2020.04.30D12:00:00.415837410,LOM0_P1050,1.21,1.26,11,20
2020.04.30D12:00:00.415840836,LON0_P1600,2.52,2.59,7,3
2020.04.30D12:00:00.415844000,LOM0_P4100,22.39,24.66,1,1
2020.04.30D12:00:00.415847319,LOM0_P4550,26.87,0,1,0
2020.04.30D12:00:00.416030996,LOM0_P1050,1.21,1.26,11,15
2020.04.30D12:00:00.425108097,LOM0_C2050,1.48,1.55,5,10
2020.04.30D12:00:00.432343727,LOM0_C1900,2.1,2.18,9,16
2020.04.30D12:00:00.432347375,LON0_C2400,2.3,2.4,8,19
2020.04.30D12:00:00.474765422,LOM0_C1800,2.62,2.7,3,14
2020.04.30D12:00:00.474798956,LON0_C2450,2.12,2.21,5,16
2020.04.30D12:00:00.474802156,LON0_P1550,2.38,2.47,23,3
2020.04.30D12:00:00.580348701,LON0_P1600,2.53,2.59,3,3
2020.04.30D12:00:00.580352950,LOM0_P1300,1.57,1.64,18,7
2020.04.30D12:00:00.580362792,LON0_P1650,2.62,2.72,12,18
2020.04.30D12:00:00.581781961,LOM0_P1300,1.57,1.64,23,7
2020.04.30D12:00:00.590487824,LOM0_P2200,5.44,5.57,11,5
2020.04.30D12:00:00.591731506,LOM0_P2200,5.44,5.57,11,5
2020.04.30D12:00:00.595349139,LON0_P1600,2.53,2.59,3,3
2020.04.30D12:00:00.598997317,LON0_P1600,2.53,2.59,3,3
2020.04.30D12:00:00.600231361,LON0_P1600,2.53,2.59,3,3
2020.04.30D12:00:00.935008224,LOM0_P1300,1.57,1.64,38,7
2020.04.30D12:00:00.935083493,LON0_P2000,3.74,3.85,9,9
2020.04.30D12:00:00.935086734,LON0_C2800,1.13,1.23,7,20
2020.04.30D12:00:00.957687742,LOM0_C3250,0.14,0.16,1,3
2020.04.30D12:00:00.957691800,LOM0_P1300,1.57,1.64,38,10
2020.04.30D12:00:01.114209665,LOM0_P1300,1.57,1.64,38,7
2020.04.30D12:00:01.124264780,LOM0_P4000,21.5,23.66,2,1
2020.04.30D12:00:01.124268295,LON0_C550,14.04,0,1,0
2020.04.30D12:00:01.224330883,LOM0_P1800,3.07,3.16,5,10
2020.04.30D12:00:01.224334543,LOM0_C1900,2.1,2.18,9,16
2020.04.30D12:00:01.224337324,LOM0_C1950,1.87,1.95,10,18
2020.04.30D12:00:01.224340847,LOM0_C2150,1.16,1.23,12,12
2020.04.30D12:00:01.224344033,LOM0_C2300,0.79,0.85,12,3
2020.04.30D12:00:01.224461199,LON0_C2200,3.18,3.29,5,16
2020.04.30D12:00:01.224464970,LON0_C2250,2.94,3.05,5,16
2020.04.30D12:00:01.224468097,LON0_P1950,3.55,3.65,9,4
2020.04.30D12:00:01.224471600,LON0_C2400,2.3,2.4,8,19
2020.04.30D12:00:01.224474869,LON0_C2500,1.95,2.04,5,20
2020.04.30D12:00:01.224478043,LON0_C2550,1.79,1.88,5,15
2020.04.30D12:00:01.308537981,LOM0_C1700,3.2,3.29,3,7
2020.04.30D12:00:01.309780871,LOM0_C1700,3.2,3.29,3,12
2020.04.30D12:00:01.500284182,LOM0_C1700,3.2,3.29,7,12
2020.04.30D12:00:01.607442537,LOM0_P1750,2.85,2.93,21,3
2020.04.30D12:00:01.607519886,LOM0_C2450,0.55,0.6,13,16
2020.04.30D12:00:01.607999780,LON0_C4050,0.16,0.23,29,41
2020.04.30D12:00:01.683923067,LOM0_C1700,3.2,3.29,3,12
2020.04.30D12:00:01.784768633,LOM0_P1750,2.85,2.93,7,3
2020.04.30D12:00:01.784772210,LOM0_C1950,1.87,1.95,10,18
2020.04.30D12:00:01.784775634,LOM0_C2450,0.55,0.6,13,16
2020.04.30D12:00:01.784859213,LOM0_P1750,2.85,2.93,7,3
2020.04.30D12:00:01.785546358,LON0_C4050,0.16,0.23,29,22
2020.04.30D12:00:01.875467265,LOM0_C1700,3.2,3.29,7,12
2020.04.30D12:00:02.093300464,LON0_P1950,3.55,3.65,9,4
2020.04.30D12:00:02.093304292,LON0_C2400,2.3,2.4,8,19
2020.04.30D12:00:02.095881520,LON0_C2400,2.3,2.4,8,19
2020.04.30D12:00:02.277310782,LOM0_C2500,0.49,0.53,6,11
2020.04.30D12:00:02.277316298,LOM0_P1000,1.15,1.19,5,2
2020.04.30D12:00:02.277319782,LOM0_P900,1.03,1.08,16,11
2020.04.30D12:00:02.277323705,LON0_C3400,0.38,0.46,13,16
2020.04.30D12:00:02.378883680,LOM0_C1550,4.18,4.29,1,2
2020.04.30D12:00:02.378887233,LOM0_C1600,3.84,3.94,1,1
2020.04.30D12:00:02.378891191,LOM0_C1650,3.51,3.61,1,1
2020.04.30D12:00:02.378894692,LOM0_C1700,3.2,3.29,3,8
2020.04.30D12:00:02.378898203,LOM0_C1750,2.89,2.98,3,3
2020.04.30D12:00:02.378901819,LOM0_C1800,2.62,2.7,3,10
2020.04.30D12:00:02.378905398,LOM0_C1850,2.35,2.43,4,10
2020.04.30D12:00:02.378908968,LOM0_C1900,2.1,2.18,5,12
2020.04.30D12:00:02.378965181,LOM0_C1950,1.87,1.95,6,14
2020.04.30D12:00:02.378969753,LOM0_C2000,1.7,1.74,2,10
2020.04.30D12:00:02.378972967,LOM0_C2050,1.48,1.55,5,10
2020.04.30D12:00:02.378976723,LOM0_C2100,1.31,1.39,10,15
2020.04.30D12:00:02.378980375,LOM0_C2150,1.16,1.23,12,9
2020.04.30D12:00:02.378983823,LOM0_C2200,1.03,1.09,12,9
2020.04.30D12:00:02.378987416,LOM0_C2250,0.9,0.97,13,9
2020.04.30D12:00:02.378990657,LOM0_C2300,0.79,0.86,12,11
2020.04.30D12:00:02.378994396,LOM0_C2350,0.7,0.76,13,11
2020.04.30D12:00:02.378997798,LOM0_C2400,0.63,0.67,2,15
2020.04.30D12:00:02.379001334,LOM0_C2450,0.55,0.6,13,13
2020.04.30D12:00:02.379005085,LOM0_C2500,0.49,0.53,6,11
2020.04.30D12:00:02.379008704,LOM0_C2550,0.44,0.48,6,16
2020.04.30D12:00:02.379011887,LOM0_C2600,0.38,0.43,9,15
