time,ISIN,bidprice0,askprice0,bidsize0,asksize0
2020.04.30D12:00:10.033543541,LON0_P1600,2.53,2.6,3,8
2020.04.30D12:00:10.034198077,LOM0_C2250,0.9,0.96,13,12
2020.04.30D12:00:10.034248921,LON0_C2350,2.49,2.6,8,16
2020.04.30D12:00:10.034252178,LON0_P1200,1.75,1.84,32,14
2020.04.30D12:00:10.034301782,LOM0_P1150,1.34,1.4,13,8
2020.04.30D12:00:10.034402743,LOM0_P1000,1.15,1.2,11,10
2020.04.30D12:00:10.047402945,LON0_P1600,2.53,2.6,3,8
2020.04.30D12:00:10.050361530,LON0_C2350,2.49,2.6,8,16
2020.04.30D12:00:10.050365372,LON0_P1600,2.53,2.6,3,8
2020.04.30D12:00:10.069124010,LOM0_C1100,7.74,7.91,6,8
2020.04.30D12:00:10.069129856,LOM0_P2200,5.47,5.59,5,5
2020.04.30D12:00:10.071646362,LOM0_C1100,7.74,7.91,7,8
2020.04.30D12:00:10.169406298,LON0_C2250,2.93,3.04,5,14
2020.04.30D12:00:10.237932289,LOM0_C2200,1.02,1.09,12,12
2020.04.30D12:00:10.237939690,LOM0_P1750,2.87,2.95,5,13
2020.04.30D12:00:10.237943061,LOM0_P2500,7.89,8.09,2,2
2020.04.30D12:00:10.317099202,LOM0_P2150,5.11,5.22,5,5
2020.04.30D12:00:10.409992084,LOM0_C2050,1.47,1.55,13,16
2020.04.30D12:00:10.410501085,LON0_C2250,2.93,3.04,5,14
2020.04.30D12:00:10.444529537,LOM0_C2200,1.02,1.09,12,12
2020.04.30D12:00:10.501150964,LOM0_C1800,2.6,2.69,9,15
2020.04.30D12:00:10.501154684,LOM0_P1400,1.79,1.85,3,6
2020.04.30D12:00:10.501245296,LON0_P1900,3.38,3.48,11,11
2020.04.30D12:00:10.501249276,LON0_P1750,2.9,3,11,17
2020.04.30D12:00:10.501252361,LON0_P1600,2.53,2.6,3,8
2020.04.30D12:00:10.501255770,LON0_P1250,1.82,1.91,32,8
2020.04.30D12:00:10.501356599,LOM0_P1400,1.79,1.85,3,6
2020.04.30D12:00:10.501918740,LON0_C2350,2.49,2.6,8,16
2020.04.30D12:00:10.532481529,LON0_C2350,2.49,2.6,8,16
2020.04.30D12:00:10.541297924,LOM0_P2050,4.43,4.54,5,5
2020.04.30D12:00:10.588136600,LON0_C2900,0.94,1.04,7,41
2020.04.30D12:00:10.592634476,LOM0_C1700,3.19,3.27,2,7
2020.04.30D12:00:10.592638025,LOM0_C2100,1.31,1.38,7,14
2020.04.30D12:00:10.592972114,LOM0_C1800,2.6,2.69,9,15
2020.04.30D12:00:10.593027092,LON0_P1750,2.9,3,11,17
2020.04.30D12:00:10.593030702,LON0_P1600,2.53,2.6,3,8
2020.04.30D12:00:10.593033873,LON0_P1250,1.82,1.91,32,8
2020.04.30D12:00:10.605442709,LON0_C2250,2.93,3.04,5,14
2020.04.30D12:00:10.605446574,LOM0_P4050,21.91,24.19,1,1
2020.04.30D12:00:10.605449751,LON0_C450,14.93,0,1,0
2020.04.30D12:00:10.605453115,LON0_C600,13.55,0,1,0
2020.04.30D12:00:10.608405180,LOM0_C100,15.94,0,1,0
2020.04.30D12:00:10.608408512,LOM0_C400,13.02,0,1,0
2020.04.30D12:00:10.608411594,LON0_C200,17.4,0,1,0
2020.04.30D12:00:10.609697980,LOM0_P1400,1.79,1.85,7,6
2020.04.30D12:00:10.623808515,LOM0_C1700,3.19,3.27,3,7
2020.04.30D12:00:10.623811983,LOM0_C2100,1.31,1.38,7,14
2020.04.30D12:00:10.623815276,LOM0_C400,13.03,0,1,0
2020.04.30D12:00:10.639542962,LOM0_P1450,1.89,1.97,31,5
2020.04.30D12:00:10.639546401,LON0_P2250,4.91,5.03,8,6
2020.04.30D12:00:10.639553161,LOM0_P1750,2.87,2.95,5,9
2020.04.30D12:00:10.639556270,LON0_P2050,3.95,4.07,9,15
2020.04.30D12:00:10.639559450,LON0_P1950,3.56,3.66,9,4
2020.04.30D12:00:10.639565950,LOM0_P2500,7.89,8.09,6,2
2020.04.30D12:00:10.668348796,LOM0_P1850,3.31,3.41,10,5
2020.04.30D12:00:10.668352444,LOM0_P1750,2.87,2.95,5,9
2020.04.30D12:00:10.668355474,LOM0_C1900,2.09,2.17,9,10
2020.04.30D12:00:10.668358633,LOM0_C1950,1.86,1.94,10,12
2020.04.30D12:00:10.668418677,LON0_C2100,3.69,3.81,5,11
2020.04.30D12:00:10.668422008,LON0_P1950,3.56,3.66,9,4
2020.04.30D12:00:10.668425087,LON0_P1850,3.21,3.31,11,12
2020.04.30D12:00:10.668428460,LON0_C3550,0.3,0.38,13,42
2020.04.30D12:00:10.668510897,LOM0_P1050,1.21,1.26,13,11
2020.04.30D12:00:10.683642439,LOM0_C1700,3.19,3.27,2,7
2020.04.30D12:00:10.683648185,LOM0_C1900,2.09,2.17,9,10
2020.04.30D12:00:10.683654599,LON0_C2950,0.86,0.95,9,19
2020.04.30D12:00:10.683755578,LOM0_C1800,2.6,2.69,8,15
2020.04.30D12:00:10.683759163,LOM0_C1950,1.86,1.94,9,12
2020.04.30D12:00:10.683762263,LON0_P1700,2.76,2.86,11,18
2020.04.30D12:00:10.684483578,LOM0_C1200,6.89,7.04,7,8
2020.04.30D12:00:10.684487687,LOM0_C1300,6.06,6.22,8,14
2020.04.30D12:00:10.684491028,LOM0_C1150,7.31,7.47,7,8
2020.04.30D12:00:10.684494280,LOM0_P2150,5.11,5.22,5,5
2020.04.30D12:00:10.684650795,LOM0_P4050,21.91,24.18,1,1
2020.04.30D12:00:10.684866384,LOM0_C1950,1.86,1.94,9,12
2020.04.30D12:00:10.684869998,LOM0_C1700,3.19,3.27,2,12
2020.04.30D12:00:10.688214825,LON0_C2100,3.69,3.81,5,6
2020.04.30D12:00:10.706632390,LOM0_C1800,2.6,2.69,9,15
2020.04.30D12:00:10.706636185,LOM0_C1950,1.86,1.94,10,12
2020.04.30D12:00:10.706639357,LOM0_C1900,2.09,2.17,9,10
2020.04.30D12:00:10.706642754,LON0_P1700,2.76,2.86,11,18
2020.04.30D12:00:10.707916253,LOM0_C1900,2.09,2.17,9,15
2020.04.30D12:00:10.709214593,LOM0_P4400,25.4,0,1,0
2020.04.30D12:00:10.709218007,LOM0_P5000,31.38,0,1,0
2020.04.30D12:00:10.711597844,LOM0_C1700,3.19,3.27,2,12
2020.04.30D12:00:10.785349773,LOM0_C2250,0.9,0.96,13,12
2020.04.30D12:00:10.785353220,LOM0_P1250,1.49,1.56,13,10
2020.04.30D12:00:10.785356421,LOM0_P1150,1.34,1.4,13,8
2020.04.30D12:00:10.785359827,LOM0_P1000,1.15,1.2,11,10
2020.04.30D12:00:10.797607103,LOM0_P4050,21.91,24.19,1,1
2020.04.30D12:00:10.797678806,LOM0_P1650,2.5,2.57,3,7
2020.04.30D12:00:10.801717912,LOM0_C400,13.02,0,1,0
2020.04.30D12:00:10.806277395,LOM0_P1500,2.02,2.1,29,5
2020.04.30D12:00:10.806280885,LOM0_P1600,2.32,2.39,13,6
2020.04.30D12:00:10.806293179,LON0_P1450,2.17,2.26,26,3
2020.04.30D12:00:10.806296921,LOM0_P1900,3.56,3.66,5,1
2020.04.30D12:00:10.807512593,LOM0_P1500,2.02,2.1,34,5
2020.04.30D12:00:10.807516150,LOM0_P1900,3.56,3.66,5,1
2020.04.30D12:00:10.810315994,LOM0_C500,12.09,0,1,0
2020.04.30D12:00:10.813674901,LOM0_P1900,3.56,3.67,5,6
2020.04.30D12:00:10.814675598,LOM0_P1050,1.21,1.26,13,9
2020.04.30D12:00:10.815032478,LOM0_P1000,1.15,1.2,13,10
2020.04.30D12:00:10.817275376,LOM0_C200,14.88,0,1,0
2020.04.30D12:00:10.817279336,LOM0_C300,13.94,0,1,0
2020.04.30D12:00:10.817282410,LOM0_C350,13.48,0,1,0
2020.04.30D12:00:10.817959695,LOM0_C2050,1.47,1.55,13,16
2020.04.30D12:00:10.817963095,LOM0_C2150,1.16,1.23,12,12
2020.04.30D12:00:10.817966055,LOM0_C2200,1.02,1.09,12,12
2020.04.30D12:00:10.818051025,LON0_P2150,4.4,4.53,14,9
2020.04.30D12:00:10.818054391,LON0_P2050,3.95,4.07,28,15
2020.04.30D12:00:10.818057573,LON0_C2400,2.3,2.39,5,16
2020.04.30D12:00:10.818060983,LON0_C2500,1.93,2.03,11,16
2020.04.30D12:00:10.818064024,LON0_P1400,2.08,2.16,27,3
2020.04.30D12:00:10.818094057,LON0_C3900,0.21,0.25,3,19
2020.04.30D12:00:10.818127227,LON0_P2050,3.95,4.07,24,15
2020.04.30D12:00:10.818604533,LON0_C4250,0.13,0.2,28,14
2020.04.30D12:00:10.818961983,LON0_C4250,0.13,0.2,28,26
2020.04.30D12:00:10.818965224,LOM0_P4050,21.92,24.19,1,1
2020.04.30D12:00:10.869419428,LOM0_P1450,1.9,1.97,11,5
2020.04.30D12:00:10.871232486,LOM0_P1450,1.9,1.97,14,5
2020.04.30D12:00:10.960536806,LOM0_C1300,6.06,6.21,8,7
2020.04.30D12:00:10.960541943,LOM0_P1900,3.56,3.67,5,6
2020.04.30D12:00:10.960545278,LOM0_P1950,3.83,3.94,5,5
2020.04.30D12:00:10.960548737,LOM0_P2000,4.12,4.23,5,5
2020.04.30D12:00:10.960552688,LOM0_P2100,4.76,4.87,5,5
2020.04.30D12:00:10.960555922,LOM0_P2150,5.11,5.22,5,5
2020.04.30D12:00:10.960559169,LOM0_P2200,5.47,5.59,5,5
2020.04.30D12:00:10.961765771,LOM0_C1300,6.06,6.21,8,8
2020.04.30D12:00:10.997346347,LOM0_C1300,6.06,6.21,8,9
2020.04.30D12:00:11.002287467,LOM0_P1450,1.9,1.97,17,5
2020.04.30D12:00:11.002294096,LOM0_P2100,4.76,4.87,5,1
2020.04.30D12:00:11.002382866,LOM0_C2000,1.7,1.73,2,13
2020.04.30D12:00:11.003160568,LOM0_C1800,2.6,2.69,8,15
2020.04.30D12:00:11.003601635,LOM0_C2000,1.7,1.73,2,18
2020.04.30D12:00:11.004183804,LOM0_P1250,1.49,1.56,13,10
2020.04.30D12:00:11.030482607,LON0_C2500,1.93,2.03,11,16
2020.04.30D12:00:11.030487977,LOM0_C1800,2.6,2.69,8,15
2020.04.30D12:00:11.035727423,LOM0_C150,15.38,0,1,0
2020.04.30D12:00:11.035731855,LON0_C350,15.88,0,1,0
2020.04.30D12:00:11.035735117,LON0_C500,14.46,0,1,0
2020.04.30D12:00:11.035738645,LON0_C550,14,0,1,0
2020.04.30D12:00:11.035828240,LON0_C2500,1.93,2.03,8,16
2020.04.30D12:00:11.035831917,LOM0_P2100,4.76,4.88,5,5
2020.04.30D12:00:11.118307239,LOM0_C2300,0.79,0.85,12,12
2020.04.30D12:00:11.118320707,LOM0_C1900,2.09,2.17,5,15
2020.04.30D12:00:11.118324045,LOM0_P1800,3.08,3.17,5,1
2020.04.30D12:00:11.118327369,LON0_P2150,4.4,4.53,14,6
2020.04.30D12:00:11.118330439,LOM0_C1650,3.5,3.59,1,5
2020.04.30D12:00:11.118333521,LOM0_P2050,4.43,4.54,5,1
2020.04.30D12:00:11.119616195,LOM0_P2050,4.43,4.54,5,1
2020.04.30D12:00:11.119619508,LOM0_C1650,3.5,3.59,1,6
2020.04.30D12:00:11.121325338,LOM0_C1800,2.6,2.69,9,15
2020.04.30D12:00:11.123256229,LOM0_C1650,3.49,3.59,5,6
2020.04.30D12:00:11.123259540,LOM0_P2050,4.43,4.55,5,5
2020.04.30D12:00:11.123262533,LOM0_C1900,2.09,2.17,5,15
2020.04.30D12:00:11.124474720,LOM0_P2050,4.43,4.55,5,5
2020.04.30D12:00:11.126103357,LOM0_C2100,1.31,1.38,10,14
2020.04.30D12:00:11.127915711,LOM0_P1800,3.08,3.18,5,10
2020.04.30D12:00:11.216579157,LON0_C2250,2.93,3.04,5,14
2020.04.30D12:00:11.247965922,LON0_C300,16.36,0,1,0
2020.04.30D12:00:11.247969738,LON0_C400,15.4,0,1,0
2020.04.30D12:00:11.248585998,LON0_C2100,3.69,3.81,5,6
2020.04.30D12:00:11.248590359,LON0_P2150,4.4,4.53,14,6
2020.04.30D12:00:11.248703269,LON0_C2450,2.1,2.21,8,16
2020.04.30D12:00:11.248790812,LON0_C2100,3.69,3.81,5,6
2020.04.30D12:00:11.263103016,LOM0_P4100,22.41,24.69,1,1
2020.04.30D12:00:11.265692261,LOM0_P1450,1.9,1.97,6,5
2020.04.30D12:00:11.265713863,LON0_P2050,3.95,4.07,9,15
2020.04.30D12:00:11.267964748,LON0_C2450,2.1,2.21,8,16
2020.04.30D12:00:11.272214052,LON0_C2100,3.69,3.81,5,6
2020.04.30D12:00:11.300879695,LOM0_P1450,1.91,1.97,2,5
2020.04.30D12:00:11.307265493,LOM0_P4100,22.41,24.68,1,1
2020.04.30D12:00:11.309785343,LOM0_C2450,0.55,0.6,13,16
2020.04.30D12:00:11.313949542,LON0_P2100,4.17,4.28,28,4
2020.04.30D12:00:11.313953017,LON0_C2700,1.36,1.46,7,38
2020.04.30D12:00:11.313955914,LON0_P1350,1.99,2.07,27,3
2020.04.30D12:00:11.343229359,LOM0_C2300,0.79,0.85,12,12
2020.04.30D12:00:11.343232402,LOM0_C1900,2.09,2.17,9,15
2020.04.30D12:00:11.343235543,LON0_P2150,4.4,4.53,14,9
2020.04.30D12:00:11.343434530,LOM0_C1900,2.09,2.17,9,15
2020.04.30D12:00:11.349824544,LON0_P1600,2.53,2.6,3,8
2020.04.30D12:00:11.362412645,LOM0_C1800,2.6,2.69,9,15
2020.04.30D12:00:11.410585053,LOM0_C1000,8.61,8.79,7,5
2020.04.30D12:00:11.410589993,LOM0_C1050,8.17,8.35,7,5
2020.04.30D12:00:11.410593493,LOM0_C1100,7.74,7.91,7,13
2020.04.30D12:00:11.410596866,LOM0_C1250,6.47,6.62,7,5
2020.04.30D12:00:11.410600025,LOM0_C1350,5.65,5.82,9,5
2020.04.30D12:00:11.410603041,LOM0_C1400,5.26,5.43,14,14
2020.04.30D12:00:11.410606124,LOM0_C1450,4.88,5.05,14,14
2020.04.30D12:00:11.410609271,LOM0_C1500,4.51,4.68,7,5
2020.04.30D12:00:11.410612283,LOM0_C1650,3.49,3.59,5,6
2020.04.30D12:00:11.410615441,LOM0_C1700,3.19,3.27,2,12
2020.04.30D12:00:11.410618898,LOM0_C1750,2.88,2.96,7,3
2020.04.30D12:00:11.410622085,LOM0_C1800,2.6,2.69,9,15
2020.04.30D12:00:11.411881751,LOM0_C1000,8.61,8.79,7,6
2020.04.30D12:00:11.411884939,LOM0_C1050,8.17,8.35,7,6
2020.04.30D12:00:11.411888037,LOM0_C1250,6.47,6.62,7,6
2020.04.30D12:00:11.411891617,LOM0_C1350,5.65,5.82,9,6
2020.04.30D12:00:11.411895220,LOM0_C1500,4.51,4.68,7,6
2020.04.30D12:00:11.424073911,LOM0_C1350,5.65,5.82,9,7
2020.04.30D12:00:11.424078423,LOM0_C1500,4.51,4.68,7,7
2020.04.30D12:00:11.424211149,LOM0_C1250,6.47,6.62,7,7
2020.04.30D12:00:11.426977613,LOM0_C1800,2.6,2.69,9,15
2020.04.30D12:00:11.426981045,LOM0_C1900,2.09,2.17,9,15
2020.04.30D12:00:11.427031370,LON0_C2150,3.42,3.54,5,14
2020.04.30D12:00:11.427036401,LON0_C2300,2.7,2.81,8,16
2020.04.30D12:00:11.427185491,LON0_C2700,1.36,1.46,7,20
2020.04.30D12:00:11.428410695,LON0_C2150,3.42,3.55,5,35
2020.04.30D12:00:11.428414223,LON0_P2100,4.17,4.28,9,4
2020.04.30D12:00:11.428417408,LON0_C2300,2.7,2.81,8,16
2020.04.30D12:00:11.428445878,LON0_C2150,3.42,3.54,5,5
2020.04.30D12:00:11.428577714,LON0_C2150,3.42,3.54,5,5
2020.04.30D12:00:11.430193428,LOM0_C1900,2.09,2.17,9,15
2020.04.30D12:00:11.443431817,LON0_P1100,1.62,1.71,14,26
2020.04.30D12:00:11.459100230,LON0_C2150,3.42,3.54,5,6
2020.04.30D12:00:11.472549350,LOM0_C1000,8.61,8.79,7,7
2020.04.30D12:00:11.472552904,LOM0_C1050,8.17,8.35,7,7
2020.04.30D12:00:11.480887828,LON0_P2250,4.91,5.03,8,1
2020.04.30D12:00:11.480891557,LON0_P2100,4.17,4.28,9,4
2020.04.30D12:00:11.480894860,LON0_P2050,3.95,4.07,9,10
2020.04.30D12:00:11.480898421,LON0_P2500,5.99,6.54,2,26
2020.04.30D12:00:11.480901853,LON0_P2300,5.18,5.31,8,1
2020.04.30D12:00:11.496486021,LON0_P2250,4.91,5.04,8,6
2020.04.30D12:00:11.496490362,LON0_P2300,5.18,5.32,8,8
2020.04.30D12:00:11.511933913,LOM0_C1250,6.47,6.62,7,13
2020.04.30D12:00:11.511938406,LOM0_C1350,5.65,5.81,9,7
2020.04.30D12:00:11.511941693,LOM0_C1500,4.51,4.67,7,8
2020.04.30D12:00:11.512647763,LOM0_C1350,5.65,5.81,9,8
2020.04.30D12:00:11.512653145,LOM0_C1500,4.51,4.67,7,9
2020.04.30D12:00:11.521430087,LOM0_C1350,5.65,5.81,9,9
2020.04.30D12:00:11.521434265,LOM0_C1500,4.51,4.67,7,10
2020.04.30D12:00:11.539684439,LOM0_C2300,0.79,0.85,12,12
2020.04.30D12:00:11.539687412,LOM0_C1900,2.09,2.17,5,15
2020.04.30D12:00:11.539690989,LON0_P2150,4.4,4.53,14,6
2020.04.30D12:00:11.540151533,LOM0_C1900,2.09,2.17,5,15
2020.04.30D12:00:11.620111002,LON0_C2350,2.49,2.6,8,16
2020.04.30D12:00:11.620114678,LON0_P1750,2.9,3,11,17
2020.04.30D12:00:11.620117618,LON0_P1250,1.82,1.91,32,8
2020.04.30D12:00:11.620195863,LOM0_P1800,3.08,3.18,19,10
2020.04.30D12:00:11.620199135,LOM0_C1850,2.33,2.42,9,16
2020.04.30D12:00:11.620322537,LOM0_C2000,1.7,1.73,2,18
2020.04.30D12:00:11.620326028,LOM0_P1600,2.32,2.39,27,6
2020.04.30D12:00:11.735326513,LOM0_P1650,2.5,2.57,3,3
2020.04.30D12:00:11.735332363,LON0_P1900,3.38,3.48,11,11
2020.04.30D12:00:11.924706511,LOM0_P1250,1.49,1.56,28,10
2020.04.30D12:00:11.925944847,LOM0_P1250,1.49,1.56,33,10
2020.04.30D12:00:12.017030923,LOM0_P1800,3.08,3.18,5,10
2020.04.30D12:00:12.017035268,LOM0_C1850,2.33,2.42,9,16
2020.04.30D12:00:12.017038538,LOM0_C2000,1.7,1.73,2,18
2020.04.30D12:00:12.017041955,LOM0_P1600,2.32,2.39,13,6
2020.04.30D12:00:12.017045295,LOM0_C2050,1.47,1.55,13,16
2020.04.30D12:00:12.017148765,LON0_C2100,3.69,3.81,5,11
2020.04.30D12:00:12.017152302,LON0_P2150,4.4,4.53,14,6
2020.04.30D12:00:12.017155742,LON0_P2050,3.95,4.07,28,10
2020.04.30D12:00:12.017159050,LON0_C2350,2.49,2.6,8,16
2020.04.30D12:00:12.017162128,LON0_C2450,2.1,2.21,8,16
2020.04.30D12:00:12.017165772,LON0_P1750,2.9,3,11,17
2020.04.30D12:00:12.017171975,LON0_P1250,1.82,1.91,32,8
2020.04.30D12:00:12.017497599,LOM0_P1650,2.5,2.57,2,3
2020.04.30D12:00:12.017707257,LOM0_P1600,2.32,2.39,13,6
2020.04.30D12:00:12.017710873,LOM0_C2150,1.16,1.23,12,12
2020.04.30D12:00:12.017714166,LOM0_C2200,1.02,1.09,12,12
2020.04.30D12:00:12.017737675,LON0_P2050,3.95,4.07,9,10
2020.04.30D12:00:12.017741052,LON0_P1350,1.99,2.07,9,3
2020.04.30D12:00:12.017960442,LON0_P2050,3.95,4.07,9,10
2020.04.30D12:00:12.030010569,LON0_P1350,1.99,2.07,9,3
2020.04.30D12:00:12.030531086,LOM0_P1250,1.49,1.56,18,10
2020.04.30D12:00:12.031270469,LON0_P2150,4.4,4.53,14,6
2020.04.30D12:00:12.031274925,LON0_C2450,2.1,2.21,8,16
2020.04.30D12:00:12.044117497,LON0_C2100,3.69,3.81,5,11
2020.04.30D12:00:12.094361797,LOM0_C2300,0.79,0.85,12,12
2020.04.30D12:00:12.094366336,LON0_P1900,3.38,3.48,11,11
2020.04.30D12:00:12.094369667,LOM0_P1650,2.5,2.57,2,7
2020.04.30D12:00:12.094373207,LON0_P2150,4.4,4.53,14,9
2020.04.30D12:00:12.116696927,LOM0_P1450,1.91,1.97,2,5
2020.04.30D12:00:12.142810938,LOM0_P1650,2.5,2.57,3,7
2020.04.30D12:00:12.178080225,LON0_P2100,4.17,4.28,24,4
2020.04.30D12:00:12.178083738,LON0_C2300,2.7,2.81,8,16
2020.04.30D12:00:12.178086732,LON0_C2700,1.36,1.46,7,38
2020.04.30D12:00:12.178151894,LON0_C2700,1.36,1.46,7,34
2020.04.30D12:00:12.291705377,LOM0_C2300,0.79,0.85,12,12
2020.04.30D12:00:12.291711474,LON0_P2150,4.4,4.53,14,6
2020.04.30D12:00:12.377680578,LON0_C2150,3.42,3.54,5,24
2020.04.30D12:00:12.377684126,LON0_P1600,2.53,2.6,3,8
2020.04.30D12:00:12.424175758,LOM0_C1900,2.09,2.17,5,15
2020.04.30D12:00:12.484058842,LON0_C2350,2.49,2.6,5,16
2020.04.30D12:00:12.577309210,LON0_C2300,2.7,2.81,8,16
2020.04.30D12:00:12.655307167,LON0_P2150,4.4,4.53,14,9
2020.04.30D12:00:12.763345669,LOM0_P2050,4.43,4.55,5,5
2020.04.30D12:00:12.769531677,LOM0_C2050,1.47,1.55,13,16
2020.04.30D12:00:12.769535818,LOM0_C2150,1.16,1.23,12,12
2020.04.30D12:00:12.769539100,LOM0_C2200,1.02,1.09,12,12
2020.04.30D12:00:12.769542320,LOM0_P1250,1.49,1.56,33,10
2020.04.30D12:00:12.769619393,LON0_P2150,4.4,4.53,14,9
2020.04.30D12:00:12.769622804,LON0_P2050,3.95,4.07,28,10
2020.04.30D12:00:12.769625725,LON0_C2450,2.1,2.21,8,16
2020.04.30D12:00:12.769628935,LON0_P1750,2.9,3,11,17
2020.04.30D12:00:12.769632179,LON0_P1350,1.99,2.07,27,3
2020.04.30D12:00:12.769702421,LOM0_C1900,2.09,2.17,5,15
2020.04.30D12:00:12.769730625,LON0_P1250,1.82,1.91,32,8
2020.04.30D12:00:12.769865401,LON0_P2050,3.95,4.07,24,10
2020.04.30D12:00:12.770323084,LON0_C2450,2.1,2.21,8,16
2020.04.30D12:00:12.770326589,LON0_P1750,2.9,3,11,17
2020.04.30D12:00:12.770329383,LON0_P1600,2.53,2.6,3,8
2020.04.30D12:00:12.770481016,LON0_P1350,1.99,2.07,23,3
2020.04.30D12:00:12.771025543,LON0_P1250,1.82,1.91,32,8
2020.04.30D12:00:12.771108003,LON0_P1750,2.9,3,11,17
2020.04.30D12:00:12.783808942,LOM0_P4100,22.41,24.69,1,1
2020.04.30D12:00:12.795965396,LON0_C2450,2.1,2.21,8,16
2020.04.30D12:00:12.819875164,LOM0_C1850,2.33,2.42,9,16
2020.04.30D12:00:12.819878724,LOM0_C2000,1.7,1.73,2,18
2020.04.30D12:00:12.819899380,LON0_C2350,2.49,2.6,5,16
2020.04.30D12:00:12.874846558,LON0_P2150,4.4,4.53,14,6
2020.04.30D12:00:12.889524075,LOM0_C1550,4.17,4.27,5,5
2020.04.30D12:00:13.000531017,LOM0_C1800,2.6,2.69,8,15
2020.04.30D12:00:13.001377880,LON0_P1250,1.82,1.91,32,8
2020.04.30D12:00:13.027601983,LOM0_C1800,2.6,2.69,8,15
2020.04.30D12:00:13.079086924,LON0_C2700,1.36,1.46,4,34
2020.04.30D12:00:13.079091114,LOM0_P1650,2.5,2.57,3,3
2020.04.30D12:00:13.079284295,LON0_C2700,1.35,1.46,12,34
2020.04.30D12:00:13.083139837,LOM0_C150,15.44,0,1,0
2020.04.30D12:00:13.083144334,LOM0_C200,14.94,0,1,0
2020.04.30D12:00:13.083147395,LOM0_C250,14.46,0,1,0
2020.04.30D12:00:13.083151105,LOM0_C300,14,0,1,0
2020.04.30D12:00:13.083154567,LOM0_C350,13.54,0,1,0
2020.04.30D12:00:13.083157834,LOM0_C400,13.08,0,1,0
2020.04.30D12:00:13.083161228,LOM0_C450,12.62,0,1,0
2020.04.30D12:00:13.083164386,LOM0_C500,12.16,0,1,0
2020.04.30D12:00:13.083167796,LOM0_C100,16,0,1,0
2020.04.30D12:00:13.083171171,LOM0_P4000,21.5,23.64,2,1
2020.04.30D12:00:13.180678836,LON0_P2200,4.65,4.77,8,1
2020.04.30D12:00:13.181031208,LON0_P2200,4.65,4.78,8,8
2020.04.30D12:00:13.181034875,LOM0_C150,15.45,0,1,0
2020.04.30D12:00:13.181037882,LOM0_C200,14.95,0,1,0
2020.04.30D12:00:13.181041362,LOM0_C250,14.47,0,1,0
2020.04.30D12:00:13.181044638,LOM0_C300,14.01,0,1,0
2020.04.30D12:00:13.181047623,LOM0_C350,13.55,0,1,0
2020.04.30D12:00:13.181051327,LOM0_C400,13.09,0,1,0
2020.04.30D12:00:13.181055029,LOM0_C450,12.62,0,1,0
2020.04.30D12:00:13.181058601,LOM0_C500,12.16,0,1,0
2020.04.30D12:00:13.181061938,LOM0_C100,16,0,1,0
2020.04.30D12:00:13.181065422,LOM0_P4000,21.5,23.63,2,1
2020.04.30D12:00:13.181068780,LOM0_P4050,21.92,24.13,1,1
2020.04.30D12:00:13.181360368,LOM0_P4100,22.41,24.63,1,1
2020.04.30D12:00:13.274654566,LON0_P1900,3.38,3.48,11,11
2020.04.30D12:00:13.617349721,LOM0_P5000,31.45,0,1,0
2020.04.30D12:00:13.617354302,LOM0_P4050,21.97,24.13,1,1
2020.04.30D12:00:13.617357686,LOM0_P4550,26.95,0,1,0
2020.04.30D12:00:13.617361323,LOM0_P4400,25.45,0,1,0
2020.04.30D12:00:13.617364605,LOM0_P4100,22.47,24.63,1,1
2020.04.30D12:00:13.674717996,LON0_C2300,2.7,2.81,8,16
2020.04.30D12:00:13.690910611,LOM0_C1850,2.33,2.42,9,16
2020.04.30D12:00:13.690914076,LOM0_C2000,1.7,1.73,2,18
2020.04.30D12:00:13.690917200,LOM0_P1250,1.49,1.56,33,10
2020.04.30D12:00:13.690920338,LOM0_C1900,2.09,2.17,5,15
2020.04.30D12:00:13.690981984,LON0_C2150,3.42,3.54,5,6
2020.04.30D12:00:13.690985322,LON0_C2300,2.7,2.81,8,16
2020.04.30D12:00:13.690988334,LON0_C2350,2.49,2.6,5,16
2020.04.30D12:00:13.690991675,LON0_P1600,2.53,2.6,3,8
2020.04.30D12:00:13.691052745,LON0_C2150,3.42,3.54,5,6
2020.04.30D12:00:13.691171505,LON0_P1600,2.53,2.6,3,8
2020.04.30D12:00:13.706978678,LOM0_P5000,31.45,0,1,0
2020.04.30D12:00:13.706982704,LOM0_P4050,21.98,24.13,1,1
2020.04.30D12:00:13.706986182,LOM0_P4550,26.96,0,1,0
2020.04.30D12:00:13.706989562,LOM0_P4400,25.46,0,1,0
2020.04.30D12:00:13.706993012,LOM0_P4100,22.48,24.63,1,1
2020.04.30D12:00:13.745849940,LOM0_C1850,2.33,2.42,8,16
2020.04.30D12:00:13.745853500,LOM0_C2100,1.31,1.38,7,14
2020.04.30D12:00:13.745856566,LOM0_C2450,0.55,0.6,7,16
2020.04.30D12:00:13.745860096,LOM0_P1550,2.17,2.23,8,2
2020.04.30D12:00:13.745863468,LON0_C2600,1.63,1.72,5,15
2020.04.30D12:00:13.746277792,LOM0_P1250,1.49,1.56,33,10
2020.04.30D12:00:13.746281684,LOM0_C1800,2.6,2.69,8,15
2020.04.30D12:00:13.746285033,LOM0_C1900,2.09,2.17,5,15
2020.04.30D12:00:13.746288434,LOM0_P1450,1.91,1.97,2,5
